dataset,dimension,relation,scope_class,size
ribotish+gencode:dORF,coordinate,pred_contained_by_paper,dORF,604
ribotish+gencode:dORF,coordinate,pred_contains_paper,dORF,40
ribotish+gencode:dORF,sequence,pred_contained_by_paper,dORF,599
ribotish+gencode:lncRNA,coordinate,pred_contained_by_paper,lncRNA,1564
ribotish+gencode:lncRNA,coordinate,pred_contains_paper,lncRNA,268
ribotish+gencode:lncRNA,sequence,pred_contained_by_paper,lncRNA,1490
ribotish+gencode:lncRNA,sequence,pred_contains_paper,lncRNA,3
ribotish+gencode:uORF,coordinate,pred_contained_by_paper,uORF,4223
ribotish+gencode:uORF,coordinate,pred_contains_paper,uORF,589
ribotish+gencode:uORF,sequence,pred_contained_by_paper,uORF,4108
ribotish+gencode:uORF,sequence,pred_contains_paper,uORF,1
unification+gencode:dORF,coordinate,pred_contained_by_paper,dORF,575
unification+gencode:dORF,coordinate,pred_contains_paper,dORF,40
unification+gencode:dORF,sequence,pred_contained_by_paper,dORF,571
unification+gencode:lncRNA,coordinate,pred_contained_by_paper,lncRNA,1481
unification+gencode:lncRNA,coordinate,pred_contains_paper,lncRNA,284
unification+gencode:lncRNA,sequence,pred_contained_by_paper,lncRNA,1416
unification+gencode:lncRNA,sequence,pred_contains_paper,lncRNA,2
unification+gencode:uORF,coordinate,pred_contained_by_paper,uORF,4016
unification+gencode:uORF,coordinate,pred_contains_paper,uORF,622
unification+gencode:uORF,sequence,pred_contained_by_paper,uORF,3909
unification+gencode:uORF,sequence,pred_contains_paper,uORF,1
