dataset,dimension,relation,paper_orf_id,paper_chrom,paper_strand,paper_blocks,paper_start_codon,paper_stop_codon,paper_span_start,paper_span_end,paper_aa_len,pred_orf_id,pred_blocks,pred_start_codon,pred_stop_codon,pred_span_start,pred_span_end,pred_aa_len,delta_start_nt,delta_stop_nt,scope_class
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000033740.17_St18_chr1:6730150-6752352:+_48,chr1,+,"6730150-6730240,6752295-6752352",6730150,6752352,6730150,6752352,48,P1_1:6730151_6752352:+:2:147,"6730151-6730240,6752296-6752352",6730151,6752352,6730151,6752352,48,1,0,uORF
unification+gencode:uORF,coordinate,pred_contains_paper,ENSMUSG00000033740.17_St18_chr1:6730150-6752352:+_48,chr1,+,"6730150-6730240,6752295-6752352",6730150,6752352,6730150,6752352,48,P1_1:6487337_6753031:+:3:231,"6487337-6487405,6487618-6487741,6752994-6753031",6487337,6753031,6487337,6753031,76,242813,679,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000033740.17_St18_chr1:6730150-6752352:+_48,chr1,+,"6730150-6730240,6752295-6752352",6730150,6752352,6730150,6752352,48,P1_1:6730151_6737606:+:2:117,"6730151-6730240,6737580-6737606",6730151,6737606,6730151,6737606,38,1,14746,uORF
unification+gencode:uORF,coordinate,pred_contains_paper,ENSMUSG00000033740.17_St18_chr1:6730150-6752999:+_31,chr1,+,"6730150-6730240,6752993-6752999",6730150,6752999,6730150,6752999,31,P1_1:6487337_6753031:+:3:231,"6487337-6487405,6487618-6487741,6752994-6753031",6487337,6753031,6487337,6753031,76,242813,32,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000033740.17_St18_chr1:6730150-6752999:+_31,chr1,+,"6730150-6730240,6752993-6752999",6730150,6752999,6730150,6752999,31,P1_1:6730151_6737606:+:2:117,"6730151-6730240,6737580-6737606",6730151,6737606,6730151,6737606,38,1,15393,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000025907.14_Rb1cc1_chr1:6214901-6227997:+_37,chr1,+,"6214901-6214957,6227939-6227997",6214901,6227997,6214901,6227997,37,P1_1:6214902_6227997:+:2:114,"6214902-6214957,6227940-6227997",6214902,6227997,6214902,6227997,37,1,0,uORF
unification+gencode:uORF,coordinate,pred_contains_paper,ENSMUSG00000025907.14_Rb1cc1_chr1:6214901-6227997:+_37,chr1,+,"6214901-6214957,6227939-6227997",6214901,6227997,6214901,6227997,37,P1_1:6206260_6227997:+:2:69,"6206260-6206270,6227940-6227997",6206260,6227997,6206260,6227997,22,8641,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000025907.14_Rb1cc1_chr1:6214901-6227997:+_37,chr1,+,"6214901-6214957,6227939-6227997",6214901,6227997,6214901,6227997,37,P1_1:6214902_6227997:+:2:114,"6214902-6214957,6227940-6227997",6214902,6227997,6214902,6227997,37,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000033793.12_Atp6v1h_chr1:5083498-5083618:+_39,chr1,+,5083498-5083618,5083498,5083618,5083498,5083618,39,P1_1:5083499_5083618:+:1:120,5083499-5083618,5083499,5083618,5083499,5083618,39,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000033793.12_Atp6v1h_chr1:5083498-5083618:+_39,chr1,+,5083498-5083618,5083498,5083618,5083498,5083618,39,P1_1:5083499_5083618:+:1:120,5083499-5083618,5083499,5083618,5083499,5083618,39,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000025927.13_Tfap2b_chr1:19209111-19214155:+_113,chr1,+,"19209111-19209248,19213950-19214155",19209111,19214155,19209111,19214155,113,P1_1:19209112_19214155:+:2:342,"19209112-19209248,19213951-19214155",19209112,19214155,19209112,19214155,113,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000025927.13_Tfap2b_chr1:19209111-19214155:+_113,chr1,+,"19209111-19209248,19213950-19214155",19209111,19214155,19209111,19214155,113,P1_1:19212273_19212341:+:1:69,19212273-19212341,19212273,19212341,19212273,19212341,22,3162,1814,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000025931.15_Paqr8_chr1:20932138-20932228:+_29,chr1,+,20932138-20932228,20932138,20932228,20932138,20932228,29,P1_1:20932139_20932228:+:1:90,20932139-20932228,20932139,20932228,20932139,20932228,29,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000025931.15_Paqr8_chr1:20932138-20932228:+_29,chr1,+,20932138-20932228,20932138,20932228,20932138,20932228,29,P1_1:20932139_20932228:+:1:90,20932139-20932228,20932139,20932228,20932139,20932228,29,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000005886.14_Ncoa2_chr1:13373948-13374023:-_24,chr1,-,13373948-13374023,13374023,13373948,13373948,13374023,24,P1_1:13373949_13374023:-:1:75,13373949-13374023,13374023,13373949,13373949,13374023,24,0,1,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000005886.14_Ncoa2_chr1:13373948-13374023:-_24,chr1,-,13373948-13374023,13374023,13373948,13373948,13374023,24,P1_1:13373949_13374023:-:1:75,13373949-13374023,13374023,13373949,13373949,13374023,24,0,1,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000016918.15_Sulf1_chr1:12692506-12728622:+_68,chr1,+,"12692506-12692684,12728593-12728622",12692506,12728622,12692506,12728622,68,P1_1:12692507_12728622:+:2:207,"12692507-12692684,12728594-12728622",12692507,12728622,12692507,12728622,68,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000016918.15_Sulf1_chr1:12692506-12728622:+_68,chr1,+,"12692506-12692684,12728593-12728622",12692506,12728622,12692506,12728622,68,P1_1:12692507_12728622:+:2:207,"12692507-12692684,12728594-12728622",12692507,12728622,12692507,12728622,68,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000016918.15_Sulf1_chr1:12728644-12786124:+_29,chr1,+,"12728644-12728688,12786078-12786124",12728644,12786124,12728644,12786124,29,P1_1:12728645_12786124:+:2:90,"12728645-12728688,12786079-12786124",12728645,12786124,12728645,12786124,29,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000016918.15_Sulf1_chr1:12728644-12786124:+_29,chr1,+,"12728644-12728688,12786078-12786124",12728644,12786124,12728644,12786124,29,P1_1:12728645_12786124:+:2:90,"12728645-12728688,12786079-12786124",12728645,12786124,12728645,12786124,29,1,0,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000016918.15_Sulf1_chr1:12692506-12786101:+_66,chr1,+,"12692506-12692684,12786078-12786101",12692506,12786101,12692506,12786101,66,P1_1:12692507_12786101:+:2:201,"12692507-12692684,12786079-12786101",12692507,12786101,12692507,12786101,66,1,0,uORF
unification+gencode:uORF,coordinate,pred_contained_by_paper,ENSMUSG00000016918.15_Sulf1_chr1:12692506-12786101:+_66,chr1,+,"12692506-12692684,12786078-12786101",12692506,12786101,12692506,12786101,66,P1_1:12692507_12728622:+:2:207,"12692507-12692684,12728594-12728622",12692507,12728622,12692507,12728622,68,1,57479,uORF
unification+gencode:uORF,sequence,pred_contained_by_paper,ENSMUSG00000025938.16_Slco5a1_chr1:12990579-12990798:-_72,chr1,-,12990579-12990798,12990798,12990579,12990579,12990798,72,P1_1:12990580_12990798:-:1:219,12990580-12990798,12990798,12990580,12990580,12990798,72,0,1,uORF
